,Listas
61762,1
61763,1
61764,0
61765,1
61766,1
61767,1
61768,1
61769,0
61770,0
61771,1
61772,1
61773,1
61774,1
61775,0
61776,1
61777,1
61778,1
61779,1
61780,0
61781,1
61782,0
61783,1
61784,1
61785,0
61786,1
61787,1
61788,1
61789,1
61790,1
61791,0
61792,1
61793,1
61794,1
61795,0
61796,1
61797,1
61798,0
61799,1
61800,1
61801,1
61802,1
61803,1
61804,1
61805,1
61806,1
61807,0
61808,0
61809,0
61810,0
61811,0
61812,0
61813,1
61814,1
61815,0
61816,1
61817,0
61818,1
61819,1
61820,1
61821,1
61822,1
61823,1
61824,1
61825,1
61826,1
61827,0
61828,0
61829,1
61830,0
61831,1
61832,1
61833,0
61834,0
61835,0
61836,1
61837,0
61838,1
61839,1
61840,1
61841,0
61842,1
61843,1
61844,1
61845,0
61846,1
61847,0
61848,0
61849,1
61850,1
61851,1
61852,1
61853,1
61854,1
61855,1
61856,0
61857,1
61858,1
61859,1
61860,1
61861,1
61862,0
61863,1
61864,1
61865,1
61866,0
61867,1
61868,0
61869,0
61870,1
61871,0
61872,1
61873,0
61874,1
61875,0
61876,1
61877,1
61878,1
61879,0
61880,1
61881,0
61882,1
61883,0
61884,1
61885,1
61886,0
61887,1
61888,0
61889,1
61890,1
61891,1
61892,1
61893,0
61894,1
61895,1
61896,1
61897,1
61898,1
61899,1
61900,1
61901,0
61902,0
61903,0
61904,0
61905,1
61906,1
61907,1
61908,0
61909,0
61910,1
61911,1
61912,1
61913,0
61914,1
61915,1
61916,1
61917,1
61918,0
61919,1
61920,1
61921,0
61922,0
61923,1
61924,0
61925,1
61926,1
61927,1
61928,1
61929,0
61930,0
61931,1
61932,1
61933,0
61934,1
61935,1
61936,1
61937,1
61938,1
61939,1
61940,0
61941,1
61942,0
61943,1
61944,1
61945,0
61946,1
61947,1
61948,1
61949,1
61950,1
61951,0
61952,0
61953,1
61954,0
61955,1
61956,1
61957,1
61958,1
61959,0
61960,1
61961,1
61962,1
61963,1
61964,1
61965,0
61966,0
61967,0
61968,1
61969,1
61970,1
61971,0
61972,1
61973,0
61974,1
61975,0
61976,1
61977,0
61978,1
61979,1
61980,1
61981,1
61982,1
61983,1
61984,1
61985,1
61986,0
61987,1
61988,1
61989,1
61990,0
61991,1
61992,1
61993,1
61994,1
61995,0
61996,1
61997,1
61998,1
61999,0
62000,1
62001,1
62002,1
62003,1
62004,0
62005,0
62006,1
62007,1
62008,1
62009,0
62010,1
62011,1
62012,0
62013,0
62014,0
62015,1
62016,1
62017,0
62018,1
62019,1
62020,0
62021,0
62022,1
62023,0
62024,0
62025,0
62026,1
62027,1
62028,1
62029,1
62030,1
62031,0
62032,1
62033,1
62034,1
62035,1
62036,1
62037,1
62038,1
62039,1
62040,0
62041,1
62042,1
62043,0
62044,1
62045,1
62046,1
62047,1
62048,1
62049,0
62050,1
62051,1
62052,1
62053,0
62054,0
62055,1
62056,1
62057,1
62058,0
62059,1
62060,1
62061,1
62062,1
62063,0
62064,0
62065,1
62066,1
62067,1
62068,0
62069,1
62070,1
62071,0
62072,1
62073,1
62074,1
62075,0
62076,1
62077,1
62078,1
62079,0
62080,1
62081,0
62082,0
62083,0
62084,0
62085,1
62086,1
62087,0
62088,1
62089,1
62090,0
62091,1
62092,0
62093,0
62094,0
62095,1
62096,1
62097,1
62098,1
62099,0
62100,0
62101,1
62102,1
62103,1
62104,1
62105,0
62106,0
62107,0
62108,0
62109,1
62110,1
62111,1
62112,0
62113,1
62114,1
62115,1
62116,1
62117,0
62118,0
62119,1
62120,1
62121,1
62122,1
62123,1
62124,1
62125,1
62126,0
62127,1
62128,1
62129,0
62130,1
62131,1
62132,1
62133,1
62134,1
62135,0
62136,1
62137,1
62138,1
62139,0
62140,1
62141,1
62142,1
62143,1
62144,0
62145,0
62146,0
62147,1
62148,1
62149,1
62150,1
62151,1
62152,1
62153,1
62154,1
62155,1
62156,0
62157,1
62158,0
62159,0
62160,0
62161,0
62162,1
62163,0
62164,0
62165,1
62166,1
62167,1
62168,1
62169,1
62170,1
62171,1
62172,1
62173,0
62174,1
62175,0
62176,0
62177,1
62178,1
62179,1
62180,1
62181,0
62182,0
62183,1
62184,1
62185,1
62186,1
62187,0
62188,1
62189,1
62190,0
62191,1
62192,0
62193,1
62194,1
62195,0
62196,0
62197,1
62198,1
62199,0
62200,0
62201,1
62202,0
62203,1
62204,0
62205,0
62206,1
62207,1
62208,1
62209,0
62210,0
62211,1
62212,1
62213,1
62214,1
62215,0
62216,1
62217,1
62218,1
62219,0
62220,1
62221,1
62222,0
62223,1
62224,0
62225,0
62226,1
62227,1
62228,1
62229,1
62230,1
62231,1
62232,1
62233,1
62234,1
62235,0
62236,1
62237,1
62238,1
62239,1
62240,1
62241,1
62242,1
62243,1
62244,0
62245,0
62246,1
62247,1
62248,1
62249,0
62250,0
62251,1
62252,1
62253,1
62254,1
62255,1
62256,1
62257,0
62258,1
62259,0
62260,0
62261,1
62262,1
62263,1
62264,1
62265,1
62266,1
62267,1
62268,1
62269,1
62270,1
62271,1
62272,1
62273,0
62274,1
62275,0
62276,0
62277,1
62278,1
62279,1
62280,1
62281,0
62282,0
62283,0
62284,0
62285,0
62286,0
62287,1
62288,1
62289,0
62290,0
62291,1
62292,1
62293,0
62294,0
62295,0
62296,1
62297,0
62298,1
62299,1
62300,1
62301,1
62302,1
62303,1
62304,1
62305,0
62306,1
62307,1
62308,1
62309,0
62310,0
62311,0
62312,1
62313,1
62314,1
62315,0
62316,1
62317,1
62318,1
62319,1
62320,1
62321,0
62322,1
62323,1
62324,1
62325,1
62326,1
62327,0
62328,0
62329,1
62330,1
62331,1
62332,1
62333,1
62334,0
62335,0
62336,1
62337,1
62338,1
62339,1
62340,0
62341,1
62342,0
62343,0
62344,1
62345,1
62346,1
62347,0
62348,1
62349,0
62350,1
62351,1
62352,1
62353,0
62354,1
62355,1
62356,0
62357,1
62358,1
62359,0
62360,0
62361,1
62362,0
62363,0
62364,0
62365,0
62366,0
62367,0
62368,1
62369,1
62370,0
62371,1
62372,1
62373,1
62374,1
62375,1
62376,1
62377,0
62378,0
62379,1
62380,1
62381,1
62382,1
62383,1
62384,1
62385,0
62386,0
62387,1
62388,1
62389,1
62390,1
62391,1
62392,1
62393,1
62394,1
62395,1
62396,0
62397,0
62398,0
62399,1
62400,1
62401,1
62402,1
62403,1
62404,0
62405,0
62406,0
62407,1
62408,1
62409,1
62410,0
62411,1
62412,0
62413,1
62414,0
62415,0
62416,0
62417,1
62418,1
62419,1
62420,1
62421,1
62422,1
62423,1
62424,0
62425,1
62426,1
62427,0
62428,1
62429,0
62430,0
62431,1
62432,1
62433,1
62434,1
62435,0
62436,0
62437,1
62438,1
62439,1
62440,1
62441,0
62442,1
62443,1
62444,1
62445,0
62446,1
62447,1
62448,1
62449,1
62450,0
62451,1
62452,0
62453,1
62454,1
62455,1
62456,0
62457,1
62458,0
62459,1
62460,1
62461,1
62462,1
62463,1
62464,1
62465,1
62466,1
62467,1
62468,1
62469,1
62470,0
62471,0
62472,1
62473,0
62474,0
62475,1
62476,0
62477,1
62478,1
62479,0
62480,1
62481,1
62482,1
62483,0
62484,1
62485,1
62486,0
62487,0
62488,1
62489,1
62490,1
62491,1
62492,1
62493,1
62494,1
62495,1
62496,0
62497,0
62498,0
62499,1
62500,1
62501,1
62502,1
62503,1
62504,1
62505,1
62506,0
62507,1
62508,1
62509,0
62510,1
62511,1
62512,1
62513,0
62514,1
62515,1
62516,1
62517,0
62518,1
62519,1
62520,1
62521,1
62522,1
62523,0
62524,1
62525,1
62526,1
62527,1
62528,1
62529,0
62530,0
62531,1
62532,0
62533,1
62534,1
62535,0
62536,1
62537,0
62538,1
62539,0
62540,0
62541,0
62542,1
62543,1
62544,1
62545,1
62546,1
62547,0
62548,1
62549,0
62550,0
62551,1
62552,1
62553,0
62554,1
62555,0
62556,0
62557,0
62558,0
62559,1
62560,1
62561,1
62562,1
62563,1
62564,0
62565,0
62566,1
62567,1
62568,1
62569,1
62570,0
62571,1
62572,1
62573,0
62574,0
62575,0
62576,1
62577,1
62578,1
62579,0
62580,1
62581,1
62582,1
62583,0
62584,1
62585,0
62586,0
62587,1
62588,0
62589,1
62590,1
62591,0
62592,1
62593,1
62594,1
62595,1
62596,0
62597,1
62598,0
62599,0
62600,0
62601,0
62602,1
62603,1
62604,1
62605,0
62606,0
62607,1
62608,1
62609,1
62610,0
62611,0
62612,1
62613,1
62614,1
62615,1
62616,0
62617,0
62618,0
62619,0
62620,1
62621,1
62622,1
62623,0
62624,1
62625,0
62626,1
62627,1
62628,1
62629,0
62630,1
62631,0
62632,1
62633,0
62634,1
62635,1
62636,0
62637,0
62638,1
62639,1
62640,1
62641,1
62642,1
62643,1
62644,1
62645,1
62646,0
62647,1
62648,1
62649,1
62650,0
62651,1
62652,1
62653,1
62654,1
62655,0
62656,1
62657,0
62658,0
62659,1
62660,0
62661,1
62662,0
62663,1
62664,1
62665,1
62666,0
62667,1
62668,1
62669,1
62670,1
62671,0
62672,1
62673,1
62674,0
62675,0
62676,1
62677,0
62678,1
62679,0
62680,0
62681,0
62682,1
62683,1
62684,1
62685,1
62686,1
62687,1
62688,1
62689,1
62690,1
62691,0
62692,1
62693,1
62694,0
62695,1
62696,0
62697,1
62698,1
62699,1
62700,1
62701,1
62702,0
62703,0
62704,1
62705,1
62706,1
62707,1
62708,1
62709,0
62710,0
62711,0
62712,1
62713,1
62714,1
62715,0
62716,1
62717,0
62718,1
62719,0
62720,1
62721,1
62722,1
62723,0
62724,0
62725,0
62726,0
62727,1
62728,1
62729,1
62730,1
62731,1
62732,1
62733,1
62734,1
62735,1
62736,1
62737,1
62738,0
62739,1
62740,0
62741,1
62742,0
62743,0
62744,0
62745,1
62746,0
62747,1
62748,0
62749,0
62750,1
62751,1
62752,0
62753,1
62754,1
62755,1
62756,1
62757,0
62758,1
62759,0
62760,1
62761,1
62762,1
62763,1
62764,1
62765,0
62766,1
62767,1
62768,1
62769,1
62770,1
62771,1
62772,0
62773,1
62774,1
62775,1
62776,0
62777,0
62778,0
62779,0
62780,1
62781,0
62782,1
62783,1
62784,0
62785,0
62786,1
62787,1
62788,0
62789,0
62790,1
62791,0
62792,1
62793,1
62794,1
62795,0
62796,0
62797,1
62798,1
62799,1
62800,0
62801,1
62802,0
62803,1
62804,1
62805,1
62806,1
62807,1
62808,0
62809,0
62810,1
62811,1
62812,1
62813,1
62814,1
62815,1
62816,0
62817,0
62818,1
62819,1
62820,1
62821,1
62822,1
62823,1
62824,0
62825,0
62826,1
62827,0
62828,1
62829,1
62830,1
62831,0
62832,1
62833,1
62834,0
62835,1
62836,0
62837,1
62838,0
62839,1
62840,1
62841,1
62842,1
62843,1
62844,1
62845,1
62846,1
62847,1
62848,1
62849,0
62850,1
62851,0
62852,0
62853,1
62854,1
62855,1
62856,1
62857,1
62858,1
62859,0
62860,1
62861,0
62862,0
62863,0
62864,1
62865,1
62866,0
62867,1
62868,1
62869,1
62870,1
62871,1
62872,1
62873,1
62874,1
62875,0
62876,0
62877,0
62878,0
62879,0
62880,1
62881,0
62882,1
62883,0
62884,1
62885,0
62886,1
62887,1
62888,0
62889,1
62890,1
62891,1
62892,0
62893,1
62894,1
62895,1
62896,0
62897,1
62898,1
62899,0
62900,0
62901,1
62902,0
62903,1
62904,1
62905,1
62906,0
62907,1
62908,1
62909,1
62910,1
62911,1
62912,1
62913,1
62914,0
62915,0
62916,1
62917,1
62918,1
62919,0
62920,1
62921,1
62922,1
62923,0
62924,1
62925,1
62926,0
62927,0
62928,1
62929,0
62930,0
62931,1
62932,0
62933,0
62934,1
62935,1
62936,1
62937,1
62938,1
62939,0
62940,1
62941,0
62942,0
62943,1
62944,0
62945,0
62946,1
62947,1
62948,1
62949,1
62950,0
62951,1
62952,1
62953,0
62954,0
62955,0
62956,0
62957,0
62958,1
62959,0
62960,1
62961,0
62962,0
62963,1
62964,0
62965,1
62966,0
62967,1
62968,1
62969,0
62970,1
62971,0
62972,0
62973,1
62974,0
62975,1
62976,0
62977,0
62978,1
62979,0
62980,1
62981,0
62982,1
62983,1
62984,0
62985,0
62986,1
62987,1
62988,1
62989,0
62990,1
62991,1
62992,1
62993,1
62994,1
62995,0
62996,1
62997,0
62998,1
62999,1
63000,0
63001,1
63002,1
63003,0
63004,1
63005,1
63006,1
63007,1
63008,1
63009,0
63010,1
63011,1
63012,0
63013,1
63014,1
63015,1
63016,1
63017,1
63018,1
63019,1
63020,1
63021,1
63022,0
63023,0
63024,1
63025,1
63026,1
63027,1
63028,1
63029,1
63030,1
63031,1
63032,1
63033,1
63034,1
63035,0
63036,1
63037,0
63038,0
63039,1
63040,0
63041,1
63042,0
63043,1
63044,0
63045,1
63046,0
63047,1
63048,1
63049,1
63050,1
63051,1
63052,1
63053,0
63054,1
63055,1
63056,1
63057,1
63058,1
63059,1
63060,1
63061,1
63062,0
63063,0
63064,1
63065,1
63066,0
63067,1
63068,0
63069,0
63070,0
63071,1
63072,1
63073,0
63074,1
63075,0
63076,0
63077,1
63078,0
63079,0
63080,1
63081,0
63082,0
63083,0
63084,1
63085,0
63086,1
63087,0
63088,1
63089,1
63090,0
63091,1
63092,1
63093,1
63094,0
63095,1
63096,1
63097,1
63098,0
63099,1
63100,1
63101,0
63102,1
63103,1
63104,0
63105,1
63106,1
63107,1
63108,1
63109,1
63110,1
63111,1
63112,1
63113,1
63114,1
63115,1
63116,1
63117,1
63118,1
63119,1
63120,1
63121,1
63122,1
63123,0
63124,0
63125,1
63126,1
63127,0
63128,1
63129,1
63130,1
63131,1
63132,0
63133,1
63134,1
63135,0
63136,0
63137,1
63138,0
63139,0
63140,0
63141,1
63142,0
63143,1
63144,1
63145,0
63146,1
63147,1
63148,1
63149,1
63150,1
63151,1
63152,1
63153,0
63154,1
63155,1
63156,0
63157,0
63158,1
63159,0
63160,0
63161,0
63162,1
63163,1
63164,0
63165,1
63166,0
63167,0
63168,0
63169,0
63170,0
63171,0
63172,0
63173,1
63174,0
63175,1
63176,0
63177,1
63178,1
63179,1
63180,1
63181,1
63182,0
63183,1
63184,1
63185,1
63186,1
63187,1
63188,0
63189,1
63190,0
63191,0
63192,0
63193,1
63194,0
63195,1
63196,0
63197,1
63198,0
63199,1
63200,0
63201,1
63202,1
63203,1
63204,1
63205,0
63206,1
63207,0
63208,1
63209,1
63210,1
63211,1
63212,1
63213,0
63214,1
63215,1
63216,1
63217,0
63218,0
63219,1
63220,1
63221,1
63222,1
63223,0
63224,0
63225,1
63226,0
63227,1
63228,1
63229,0
63230,0
63231,0
63232,0
63233,1
63234,1
63235,1
63236,1
63237,1
63238,0
63239,0
63240,0
63241,1
63242,1
63243,1
63244,1
63245,1
63246,1
63247,1
63248,0
63249,0
63250,0
63251,1
63252,1
63253,0
63254,1
63255,1
63256,1
63257,0
63258,0
63259,0
63260,1
63261,1
63262,1
63263,1
63264,0
63265,1
63266,1
63267,1
63268,0
63269,1
63270,1
63271,1
63272,1
63273,1
63274,1
63275,1
63276,0
63277,1
63278,1
63279,0
63280,0
63281,1
63282,1
63283,0
63284,0
63285,1
63286,1
63287,1
63288,1
63289,1
63290,0
63291,1
63292,1
63293,1
63294,1
63295,0
63296,1
63297,0
63298,0
63299,0
63300,0
63301,1
63302,0
63303,1
63304,0
63305,0
63306,0
63307,0
63308,0
63309,1
63310,1
63311,0
63312,1
63313,0
63314,1
63315,1
63316,1
63317,1
63318,1
63319,1
63320,0
63321,0
63322,0
63323,1
63324,0
63325,1
63326,0
63327,0
63328,1
63329,0
63330,0
63331,1
63332,1
63333,1
63334,1
63335,1
63336,1
63337,1
63338,0
63339,0
63340,1
63341,1
63342,0
63343,0
63344,1
63345,1
63346,1
63347,1
63348,1
63349,0
63350,1
63351,1
63352,0
63353,1
63354,1
63355,1
63356,0
63357,1
63358,1
63359,1
63360,0
63361,0
63362,1
63363,1
63364,1
63365,1
63366,1
63367,1
63368,1
63369,0
63370,1
63371,0
63372,0
63373,1
63374,0
63375,0
63376,0
63377,0
63378,1
63379,1
63380,0
63381,1
63382,1
63383,1
63384,1
63385,0
63386,1
63387,1
63388,1
63389,1
63390,1
63391,1
63392,1
63393,1
63394,1
63395,1
63396,1
63397,0
63398,1
63399,0
63400,0
63401,1
63402,1
63403,0
63404,1
63405,1
63406,1
63407,1
63408,1
63409,1
63410,0
63411,1
63412,0
63413,1
63414,1
63415,1
63416,1
63417,1
63418,0
63419,1
63420,1
63421,1
63422,1
63423,1
63424,1
63425,1
63426,1
63427,0
63428,1
63429,1
63430,1
63431,1
63432,0
63433,1
63434,1
63435,1
63436,1
63437,0
63438,1
63439,0
63440,1
63441,1
63442,1
63443,1
63444,1
63445,1
63446,1
63447,1
63448,0
63449,1
63450,1
63451,1
63452,0
63453,1
63454,1
63455,1
63456,0
63457,0
63458,1
63459,1
63460,1
63461,1
63462,1
63463,1
63464,1
63465,0
63466,0
63467,1
63468,0
63469,1
63470,0
63471,0
63472,0
63473,0
63474,1
63475,0
63476,1
63477,1
63478,1
63479,0
63480,1
63481,0
63482,0
63483,1
63484,1
63485,1
63486,1
63487,1
63488,1
63489,0
63490,1
63491,0
63492,0
63493,1
63494,1
63495,0
63496,0
63497,1
63498,1
63499,1
63500,1
63501,1
63502,1
63503,1
63504,1
63505,0
63506,0
63507,1
63508,0
63509,0
63510,0
63511,1
63512,1
63513,0
63514,0
63515,0
63516,1
63517,1
63518,1
63519,1
63520,1
63521,1
63522,1
63523,1
63524,1
63525,1
63526,1
63527,0
63528,1
63529,0
63530,0
63531,1
63532,1
63533,1
63534,0
63535,1
63536,1
63537,1
63538,1
63539,0
63540,1
63541,1
63542,1
63543,0
63544,0
63545,0
63546,1
63547,1
63548,0
63549,0
63550,0
63551,1
63552,1
63553,1
63554,1
63555,1
63556,1
63557,1
63558,1
63559,0
63560,0
63561,1
63562,1
63563,1
63564,1
63565,1
63566,0
63567,1
63568,1
63569,0
63570,1
63571,1
63572,0
63573,1
63574,0
63575,1
63576,1
63577,1
63578,1
63579,0
63580,1
63581,1
63582,1
63583,0
63584,1
63585,1
63586,1
63587,1
63588,0
63589,1
63590,1
63591,1
63592,1
63593,0
63594,1
63595,1
63596,0
63597,1
63598,0
63599,1
63600,0
63601,1
63602,1
63603,1
63604,1
63605,1
63606,0
63607,0
63608,1
63609,1
63610,1
63611,1
63612,1
63613,1
63614,1
63615,0
63616,0
63617,1
63618,1
63619,1
63620,1
63621,0
63622,0
63623,1
63624,1
63625,1
63626,0
63627,1
63628,1
63629,0
63630,1
63631,1
63632,1
63633,1
63634,1
63635,1
63636,1
63637,1
63638,1
63639,1
63640,1
63641,1
63642,1
63643,1
63644,0
63645,1
63646,1
63647,0
63648,1
63649,0
63650,0
63651,0
63652,1
63653,1
63654,0
63655,1
63656,1
63657,0
63658,1
63659,0
63660,1
63661,1
63662,0
63663,1
63664,0
63665,0
63666,0
63667,1
63668,0
63669,0
63670,0
63671,0
63672,1
63673,1
63674,0
63675,0
63676,1
63677,1
63678,1
63679,1
63680,0
63681,1
63682,1
63683,0
63684,1
63685,1
63686,1
63687,0
63688,0
63689,0
63690,0
63691,0
63692,0
63693,1
63694,1
63695,0
63696,1
63697,0
63698,0
63699,1
63700,1
63701,1
63702,0
63703,0
63704,1
63705,0
63706,1
63707,0
63708,1
63709,0
63710,1
63711,1
63712,1
63713,1
63714,0
63715,0
63716,0
63717,1
63718,1
63719,1
63720,0
63721,1
63722,1
63723,1
63724,1
63725,1
63726,1
63727,0
63728,1
63729,1
63730,1
63731,0
63732,1
63733,1
63734,1
63735,1
63736,1
63737,0
63738,0
63739,1
63740,1
63741,0
63742,1
63743,0
63744,1
63745,0
63746,0
63747,1
63748,0
63749,1
63750,0
63751,1
63752,1
63753,0
63754,1
63755,0
63756,1
63757,1
63758,1
63759,1
63760,1
63761,1
63762,1
63763,0
63764,0
63765,1
63766,1
63767,1
63768,1
63769,1
63770,0
63771,1
63772,1
63773,0
63774,1
63775,1
63776,1
63777,1
63778,1
63779,1
63780,0
63781,1
63782,1
63783,0
63784,1
63785,0
63786,1
63787,1
63788,0
63789,0
63790,1
63791,1
63792,0
63793,1
63794,1
63795,0
63796,1
63797,1
63798,0
63799,1
63800,1
63801,0
63802,0
63803,1
63804,0
63805,0
63806,0
63807,1
63808,1
63809,1
63810,1
63811,1
63812,1
63813,1
63814,0
63815,1
63816,1
63817,0
63818,0
63819,1
63820,0
63821,0
63822,1
63823,1
63824,1
63825,1
63826,1
63827,1
63828,0
63829,1
63830,1
63831,0
63832,1
63833,0
63834,1
63835,1
63836,1
63837,1
63838,1
63839,1
63840,1
63841,0
63842,0
63843,1
63844,1
63845,0
63846,0
63847,0
63848,1
63849,0
63850,0
63851,1
63852,0
63853,1
63854,0
63855,1
63856,0
63857,0
63858,1
63859,0
63860,0
63861,0
63862,1
63863,1
63864,1
63865,1
63866,1
63867,1
63868,1
63869,1
63870,1
63871,1
63872,1
63873,1
63874,1
63875,0
63876,0
63877,1
63878,1
63879,1
63880,1
63881,1
63882,1
63883,0
63884,1
63885,1
63886,1
63887,1
63888,1
63889,0
63890,1
63891,1
63892,1
63893,1
63894,1
63895,0
63896,1
63897,1
63898,1
63899,1
63900,0
63901,1
63902,1
63903,1
63904,1
63905,0
63906,1
63907,0
63908,1
63909,1
63910,1
63911,1
63912,1
63913,1
63914,1
63915,1
63916,0
63917,1
63918,1
63919,1
63920,0
63921,0
63922,1
63923,0
63924,1
63925,1
63926,0
63927,1
63928,1
63929,1
63930,1
63931,1
63932,1
63933,1
63934,1
63935,1
63936,1
63937,0
63938,1
63939,1
63940,1
63941,1
63942,0
63943,1
63944,1
63945,1
63946,1
63947,0
63948,1
63949,1
63950,1
63951,1
63952,0
63953,1
63954,1
63955,1
63956,1
63957,0
63958,1
63959,1
63960,0
63961,0
63962,1
63963,1
63964,0
63965,0
63966,1
63967,0
63968,1
63969,1
63970,1
63971,1
63972,1
63973,1
63974,1
63975,1
63976,1
63977,0
63978,1
63979,0
63980,0
63981,0
63982,0
63983,1
63984,1
63985,1
63986,1
63987,1
63988,1
63989,1
63990,1
63991,1
63992,0
63993,1
63994,0
63995,1
63996,1
63997,1
63998,1
63999,1
64000,1
64001,0
64002,0
64003,1
64004,1
64005,1
64006,1
64007,0
64008,1
64009,1
64010,1
64011,1
64012,0
64013,0
64014,1
64015,0
64016,1
64017,1
64018,0
64019,0
64020,1
64021,1
64022,1
64023,0
64024,1
64025,1
64026,1
64027,1
64028,1
64029,0
64030,1
64031,0
64032,0
64033,1
64034,1
64035,1
64036,1
64037,0
64038,1
64039,1
64040,1
64041,0
64042,1
64043,1
64044,1
64045,0
64046,0
64047,1
64048,1
64049,1
64050,0
64051,1
64052,1
64053,1
64054,0
64055,0
64056,1
64057,1
64058,1
64059,1
64060,1
64061,1
64062,1
64063,0
64064,1
64065,1
64066,1
64067,1
64068,0
64069,1
64070,1
64071,0
64072,1
64073,1
64074,1
64075,0
64076,0
64077,1
64078,1
64079,1
64080,1
64081,1
64082,0
64083,1
64084,1
64085,0
64086,0
64087,1
64088,1
64089,0
64090,0
64091,1
64092,0
64093,1
64094,0
64095,1
64096,1
64097,1
64098,1
64099,1
64100,1
64101,1
64102,0
64103,1
64104,1
64105,1
64106,1
64107,0
64108,1
64109,1
64110,1
64111,0
64112,0
64113,1
64114,1
64115,1
64116,1
64117,0
64118,1
64119,1
64120,0
64121,1
64122,1
64123,1
64124,1
64125,1
64126,1
64127,0
64128,1
64129,1
64130,1
64131,1
64132,1
64133,1
64134,1
64135,1
64136,1
64137,0
64138,0
64139,0
64140,1
64141,1
64142,1
64143,0
64144,1
64145,1
64146,1
64147,1
64148,1
64149,1
64150,0
64151,1
64152,1
64153,1
64154,1
64155,1
64156,1
64157,1
64158,0
64159,1
64160,0
64161,0
64162,1
64163,1
64164,1
64165,1
64166,1
64167,1
64168,0
64169,1
64170,0
64171,1
64172,1
64173,1
64174,1
64175,1
64176,0
64177,1
64178,0
64179,1
64180,0
64181,0
64182,0
64183,1
64184,0
64185,1
64186,0
64187,1
64188,1
64189,1
64190,1
64191,1
64192,1
64193,1
64194,0
64195,1
64196,1
64197,0
64198,1
64199,0
64200,0
64201,1
64202,0
64203,1
64204,1
64205,1
64206,1
64207,0
64208,1
64209,1
64210,0
64211,1
64212,1
64213,1
64214,0
64215,1
64216,1
64217,0
64218,0
64219,1
64220,0
64221,0
64222,1
64223,0
64224,0
64225,0
64226,1
64227,1
64228,1
64229,1
64230,0
64231,1
64232,0
64233,1
64234,0
64235,1
64236,1
64237,1
64238,0
64239,1
64240,1
64241,0
64242,0
64243,1
64244,1
64245,1
64246,1
64247,1
64248,1
64249,1
64250,1
64251,0
64252,1
64253,1
64254,1
64255,1
64256,1
64257,1
64258,1
64259,1
64260,0
64261,1
64262,1
64263,1
64264,1
64265,0
64266,0
64267,1
64268,0
64269,0
64270,1
64271,1
64272,1
64273,0
64274,1
64275,0
64276,1
64277,1
64278,0
64279,1
64280,1
64281,1
64282,1
64283,1
64284,1
64285,1
64286,1
64287,1
64288,0
64289,0
64290,0
64291,1
64292,1
64293,1
64294,1
64295,0
64296,0
64297,1
64298,0
64299,1
64300,1
64301,1
64302,1
64303,1
64304,1
64305,1
64306,0
64307,1
64308,1
64309,1
64310,1
64311,1
64312,1
64313,0
64314,1
64315,1
64316,1
64317,1
64318,1
64319,1
64320,1
64321,0
64322,1
64323,1
64324,1
64325,0
64326,0
64327,1
64328,1
64329,0
64330,0
64331,0
64332,1
64333,1
64334,1
64335,1
64336,0
64337,0
64338,0
64339,1
64340,0
64341,1
64342,0
64343,1
64344,1
64345,1
64346,0
64347,1
64348,0
64349,1
64350,1
64351,1
64352,0
64353,0
64354,1
64355,1
64356,0
64357,1
64358,1
64359,1
64360,1
64361,1
64362,1
64363,1
64364,0
64365,0
64366,1
64367,0
64368,1
64369,1
64370,0
64371,1
64372,1
64373,1
64374,0
64375,1
64376,1
64377,0
64378,0
64379,1
64380,1
64381,1
64382,1
64383,1
64384,1
64385,0
64386,1
64387,1
64388,0
64389,1
64390,0
64391,1
64392,1
64393,0
64394,0
64395,1
64396,1
64397,0
64398,1
64399,1
64400,1
64401,0
64402,1
64403,0
64404,0
64405,1
64406,0
64407,1
64408,1
64409,0
64410,1
64411,1
64412,1
64413,1
64414,1
64415,1
64416,1
64417,1
64418,1
64419,1
64420,0
64421,1
64422,1
64423,0
64424,1
64425,0
64426,0
64427,1
64428,1
64429,1
64430,1
64431,1
64432,1
64433,1
64434,1
64435,1
64436,0
64437,1
64438,1
64439,1
64440,0
64441,1
64442,1
64443,1
64444,0
64445,1
64446,1
64447,1
64448,1
64449,0
64450,0
64451,1
64452,0
64453,0
64454,0
64455,1
64456,1
64457,1
64458,1
64459,1
64460,1
64461,1
64462,1
64463,1
64464,1
64465,1
64466,0
64467,1
64468,0
64469,1
64470,1
64471,1
64472,1
64473,1
64474,1
64475,0
64476,0
64477,1
64478,1
64479,1
64480,1
64481,1
64482,1
64483,0
64484,1
64485,0
64486,0
64487,1
64488,1
64489,1
64490,0
64491,1
64492,1
64493,1
64494,1
64495,1
64496,1
64497,0
64498,1
64499,1
64500,1
64501,1
64502,0
64503,0
64504,1
64505,1
64506,1
64507,1
64508,1
64509,1
64510,1
64511,1
64512,1
64513,1
64514,0
64515,1
64516,0
64517,0
64518,1
64519,0
64520,0
64521,1
64522,1
64523,0
64524,1
64525,1
64526,1
64527,1
64528,1
64529,1
64530,0
64531,0
64532,1
64533,1
64534,0
64535,0
64536,0
64537,0
64538,1
64539,0
64540,1
64541,0
64542,1
64543,0
64544,1
64545,1
64546,1
64547,1
64548,1
64549,1
64550,1
64551,1
64552,1
64553,1
64554,1
64555,1
64556,1
64557,0
64558,1
64559,1
64560,1
